Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-29 18:00:32
2,00:00:02,2.85,284.0,100,15.21,0.6,9.15,32.22,16.39,1013.7,23.15,33.57,705.4,2021-11-29 18:00:33
3,00:00:03,2.85,284.0,95,15.21,0.6,9.15,32.22,16.39,1013.7,23.15,33.57,738.28,2021-11-29 18:00:34
4,00:00:04,2.85,284.0,89,15.21,0.6,9.15,32.22,16.39,1013.7,23.15,33.57,691.41,2021-11-29 18:00:35
5,00:00:05,2.85,284.0,87,15.21,0.6,9.15,32.22,16.39,1013.7,23.15,33.57,685.55,2021-11-29 18:00:36
6,00:00:06,3.41,340.17,87,16.4,0.68,11.23,33.01,16.61,1013.7,23.15,33.53,695.31,2021-11-29 18:00:37
7,00:00:07,3.41,340.17,86,16.4,0.68,11.23,33.01,16.61,1013.7,23.15,33.53,714.84,2021-11-29 18:00:38
8,00:00:08,3.41,340.17,86,16.4,0.68,11.23,33.01,16.61,1013.7,23.15,33.53,681.64,2021-11-29 18:00:39
9,00:00:09,3.41,340.17,87,16.4,0.68,11.23,33.01,16.61,1013.7,23.15,33.53,671.88,2021-11-29 18:00:40
10,00:00:10,3.02,301.5,87,16.25,0.58,9.55,31.67,16.29,1013.7,23.15,33.51,671.88,2021-11-29 18:00:41
11,00:00:11,3.02,301.5,87,16.25,0.58,9.55,31.67,16.29,1013.7,23.15,33.51,671.88,2021-11-29 18:00:42
12,00:00:12,3.02,301.5,87,16.25,0.58,9.55,31.67,16.29,1013.7,23.15,33.51,671.88,2021-11-29 18:00:43
13,00:00:13,2.9,288.83,87,15.54,0.62,9.64,33.38,16.57,1013.7,23.15,33.47,699.22,2021-11-29 18:00:44
14,00:00:14,2.9,288.83,87,15.54,0.62,9.64,33.38,16.57,1013.7,23.15,33.47,689.45,2021-11-29 18:00:45
15,00:00:15,2.9,288.83,86,15.54,0.62,9.64,33.38,16.57,1013.7,23.15,33.47,701.56,2021-11-29 18:00:46
16,00:00:16,2.9,288.83,86,15.54,0.62,9.64,33.38,16.57,1013.7,23.15,33.47,667.97,2021-11-29 18:00:47
17,00:00:17,2.9,288.83,86,15.54,0.62,9.64,33.38,16.57,1013.7,23.15,33.47,691.41,2021-11-29 18:00:48
18,00:00:18,2.65,264.0,86,14.93,0.61,9.18,34.77,16.74,1013.6,23.15,33.44,697.59,2021-11-29 18:00:49
19,00:00:19,2.65,264.0,86,14.93,0.61,9.18,34.77,16.74,1013.6,23.15,33.44,683.59,2021-11-29 18:00:50
20,00:00:20,2.65,264.0,87,14.93,0.61,9.18,34.77,16.74,1013.6,23.15,33.44,671.88,2021-11-29 18:00:51
21,00:00:21,3.13,311.67,87,15.45,0.75,11.67,37.44,17.18,1013.6,23.16,33.42,695.31,2021-11-29 18:00:52
22,00:00:22,3.13,311.67,88,15.45,0.75,11.67,37.44,17.18,1013.6,23.16,33.42,681.64,2021-11-29 18:00:53
23,00:00:23,3.13,311.67,88,15.45,0.75,11.67,37.44,17.18,1013.6,23.16,33.42,667.97,2021-11-29 18:00:54
24,00:00:24,3.13,311.67,88,15.45,0.75,11.67,37.44,17.18,1013.6,23.16,33.42,687.5,2021-11-29 18:00:55
25,00:00:25,3.13,311.67,88,15.45,0.75,11.67,37.44,17.18,1013.6,23.16,33.42,679.69,2021-11-29 18:00:56
26,00:00:26,2.88,287.5,88,12.63,0.79,9.99,34.75,16.92,1013.5,23.15,33.39,644.53,2021-11-29 18:00:57
27,00:00:27,2.88,287.5,88,12.63,0.79,9.99,34.75,16.92,1013.5,23.15,33.39,250.0,2021-11-29 18:00:58
28,00:00:28,2.88,287.5,88,12.63,0.79,9.99,34.75,16.92,1013.5,23.15,33.39,250.0,2021-11-29 18:00:59
29,00:00:29,3.34,332.67,88,19.25,0.59,11.45,34.42,16.66,1013.7,23.15,33.37,250.0,2021-11-29 18:01:00
30,00:00:30,3.34,332.67,88,19.25,0.59,11.45,34.42,16.66,1013.7,23.15,33.37,684.57,2021-11-29 18:01:01
31,00:00:31,3.34,332.67,89,19.25,0.59,11.45,34.42,16.66,1013.7,23.15,33.37,613.28,2021-11-29 18:01:02
32,00:00:32,3.34,332.67,89,19.25,0.59,11.45,34.42,16.66,1013.7,23.15,33.37,613.28,2021-11-29 18:01:03
33,00:00:33,3.43,342.33,89,16.2,0.74,12.02,35.11,16.93,1013.7,23.17,33.32,613.28,2021-11-29 18:01:04
34,00:00:34,3.43,342.33,89,16.2,0.74,12.02,35.11,16.93,1013.7,23.17,33.32,613.28,2021-11-29 18:01:05
35,00:00:35,3.43,342.33,89,16.2,0.74,12.02,35.11,16.93,1013.7,23.17,33.32,578.12,2021-11-29 18:01:06
36,00:00:36,3.26,324.83,89,16.26,0.65,10.71,32.97,16.57,1013.7,23.16,33.29,625.0,2021-11-29 18:01:07
37,00:00:37,3.26,324.83,96,16.26,0.65,10.71,32.97,16.57,1013.7,23.16,33.29,613.28,2021-11-29 18:01:08
38,00:00:38,3.26,324.83,99,16.26,0.65,10.71,32.97,16.57,1013.7,23.16,33.29,584.35,2021-11-29 18:01:09
39,00:00:39,3.26,324.83,103,16.26,0.65,10.71,32.97,16.57,1013.7,23.16,33.29,611.33,2021-11-29 18:01:10
40,00:00:40,2.88,287.33,103,15.68,0.6,9.53,33.17,16.53,1013.7,23.16,33.27,636.72,2021-11-29 18:01:11
41,00:00:41,2.88,287.33,103,15.68,0.6,9.53,33.17,16.53,1013.7,23.16,33.27,636.72,2021-11-29 18:01:12
42,00:00:42,2.88,287.33,103,15.68,0.6,9.53,33.17,16.53,1013.7,23.16,33.27,815.1,2021-11-29 18:01:13
43,00:00:43,2.88,287.33,103,15.68,0.6,9.53,33.17,16.53,1013.7,23.16,33.27,757.81,2021-11-29 18:01:14
44,00:00:44,2.88,287.33,103,15.68,0.6,9.53,33.17,16.53,1013.7,23.16,33.27,720.7,2021-11-29 18:01:15
45,00:00:45,2.67,265.83,102,14.85,0.59,8.81,33.14,16.5,1013.7,23.16,33.23,746.09,2021-11-29 18:01:16
46,00:00:46,2.67,265.83,98,14.85,0.59,8.81,33.14,16.5,1013.7,23.16,33.23,761.72,2021-11-29 18:01:17
