Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.26,2021-11-26 18:15:49
2,00:00:02,0.0,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.72,2021-11-26 18:15:50
3,00:00:03,0.0,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.77,2021-11-26 18:15:51
4,00:00:04,2.39,161.17,83,12.73,0.47,6.08,37.72,16.71,986.9,24.44,31.4,769.53,2021-11-26 18:15:52
5,00:00:05,2.39,161.17,82,12.73,0.47,6.08,37.72,16.71,986.9,24.44,31.4,747.07,2021-11-26 18:15:53
6,00:00:06,2.39,161.17,81,12.73,0.47,6.08,37.72,16.71,986.9,24.44,31.4,783.2,2021-11-26 18:15:54
7,00:00:07,3.48,235.17,81,30.51,0.33,10.13,43.08,16.7,986.9,24.44,31.38,783.2,2021-11-26 18:15:55
8,00:00:08,3.48,235.17,80,30.51,0.33,10.13,43.08,16.7,986.9,24.44,31.38,798.83,2021-11-26 18:15:56
9,00:00:09,2.9,195.67,79,22.29,0.41,9.3,47.53,17.43,987.0,24.44,31.4,534.51,2021-11-26 18:15:57
10,00:00:10,2.9,195.67,79,22.29,0.41,9.3,47.53,17.43,987.0,24.44,31.4,805.66,2021-11-26 18:15:58
11,00:00:11,2.9,195.67,79,22.29,0.41,9.3,47.53,17.43,987.0,24.44,31.4,812.5,2021-11-26 18:15:59
12,00:00:12,2.75,185.83,79,26.02,0.29,7.73,41.6,16.29,986.8,24.44,31.37,805.66,2021-11-26 18:16:00
13,00:00:13,2.74,185.0,79,26.01,0.3,7.92,42.81,16.49,986.9,24.45,31.38,794.92,2021-11-26 18:16:01
14,00:00:14,2.74,185.0,78,26.01,0.3,7.92,42.81,16.49,986.9,24.45,31.38,776.37,2021-11-26 18:16:02
15,00:00:15,2.74,185.0,78,26.01,0.3,7.92,42.81,16.49,986.9,24.45,31.38,776.37,2021-11-26 18:16:03
16,00:00:16,1.96,132.33,78,24.1,0.27,6.56,49.57,16.83,986.9,24.45,31.37,791.02,2021-11-26 18:16:04
17,00:00:17,1.96,132.33,76,24.1,0.27,6.56,49.57,16.83,986.9,24.45,31.37,820.31,2021-11-26 18:16:05
18,00:00:18,2.3,155.0,75,26.8,0.29,7.78,50.19,17.03,986.9,24.45,31.37,812.5,2021-11-26 18:16:06
19,00:00:19,2.3,155.0,75,26.8,0.29,7.78,50.19,17.03,986.9,24.45,31.37,827.64,2021-11-26 18:16:07
20,00:00:20,2.3,155.0,75,26.8,0.29,7.78,50.19,17.03,986.9,24.45,31.37,805.66,2021-11-26 18:16:08
21,00:00:21,2.43,164.17,74,23.31,0.39,9.2,56.04,17.91,986.9,24.46,31.36,805.66,2021-11-26 18:16:09
22,00:00:22,2.43,164.17,74,23.31,0.39,9.2,56.04,17.91,986.9,24.46,31.36,776.37,2021-11-26 18:16:10
23,00:00:23,2.43,164.17,74,23.31,0.39,9.2,56.04,17.91,986.9,24.46,31.36,534.51,2021-11-26 18:16:11
24,00:00:24,2.77,186.83,74,23.71,0.36,8.61,46.08,17.13,986.9,24.46,31.35,761.72,2021-11-26 18:16:12
25,00:00:25,2.77,186.83,74,23.71,0.36,8.61,46.08,17.13,986.9,24.46,31.35,805.66,2021-11-26 18:16:13
26,00:00:26,2.84,191.83,75,23.78,0.4,9.69,50.51,17.61,986.8,24.45,31.38,828.12,2021-11-26 18:16:14
27,00:00:27,2.84,191.83,75,23.78,0.4,9.69,50.51,17.61,986.8,24.45,31.38,812.99,2021-11-26 18:16:15
28,00:00:28,2.84,191.83,74,23.78,0.4,9.69,50.51,17.61,986.8,24.45,31.38,856.45,2021-11-26 18:16:16
29,00:00:29,2.97,200.33,74,24.13,0.43,10.39,51.86,17.76,986.8,24.46,31.36,798.83,2021-11-26 18:16:17
30,00:00:30,2.97,200.33,74,24.13,0.43,10.39,51.86,17.76,986.8,24.46,31.36,827.15,2021-11-26 18:16:18
31,00:00:31,2.43,164.17,73,20.9,0.37,7.86,47.88,17.32,986.7,24.46,31.34,823.73,2021-11-26 18:16:19
32,00:00:32,2.43,164.17,73,20.9,0.37,7.86,47.88,17.32,986.7,24.46,31.34,813.48,2021-11-26 18:16:20
33,00:00:33,2.43,164.17,73,20.9,0.37,7.86,47.88,17.32,986.7,24.46,31.34,834.96,2021-11-26 18:16:21
34,00:00:34,3.66,247.33,73,30.9,0.45,13.95,56.4,18.06,986.9,24.46,31.34,856.45,2021-11-26 18:16:22
35,00:00:35,3.66,247.33,73,30.9,0.45,13.95,56.4,18.06,986.9,24.46,31.34,834.96,2021-11-26 18:16:23
36,00:00:36,3.94,265.83,72,22.24,0.53,11.95,44.95,17.49,986.8,24.46,31.33,812.99,2021-11-26 18:16:24
37,00:00:37,3.94,265.83,73,22.24,0.53,11.95,44.95,17.49,986.8,24.46,31.33,747.07,2021-11-26 18:16:25
38,00:00:38,3.94,265.83,73,22.24,0.53,11.95,44.95,17.49,986.8,24.46,31.33,747.07,2021-11-26 18:16:26
39,00:00:39,4.36,294.17,72,20.85,0.59,12.42,42.22,17.36,986.9,24.46,31.32,695.64,2021-11-26 18:16:27
40,00:00:40,4.36,294.17,73,20.85,0.59,12.42,42.22,17.36,986.9,24.46,31.32,695.31,2021-11-26 18:16:28
41,00:00:41,4.36,294.17,75,20.85,0.59,12.42,42.22,17.36,986.9,24.46,31.32,717.77,2021-11-26 18:16:29
42,00:00:42,4.78,322.5,78,19.1,0.66,12.77,39.6,17.21,986.8,24.47,31.33,740.23,2021-11-26 18:16:30
43,00:00:43,4.78,322.5,78,19.1,0.66,12.77,39.6,17.21,986.8,24.47,31.33,740.23,2021-11-26 18:16:31
44,00:00:44,4.78,322.5,80,19.1,0.66,12.77,39.6,17.21,986.8,24.47,31.33,1005.86,2021-11-26 18:16:32
45,00:00:45,5.76,388.67,80,21.82,0.7,15.4,39.62,17.24,986.7,24.47,31.29,732.42,2021-11-26 18:16:33
46,00:00:46,5.76,388.67,80,21.82,0.7,15.4,39.62,17.24,986.7,24.47,31.29,732.42,2021-11-26 18:16:34
47,00:00:47,5.85,395.0,80,24.45,0.62,15.36,38.89,17.09,986.6,24.47,31.27,732.42,2021-11-26 18:16:35
48,00:00:48,5.85,395.0,80,24.45,0.62,15.36,38.89,17.09,986.6,24.47,31.27,732.42,2021-11-26 18:16:36
49,00:00:49,5.85,395.0,81,24.45,0.62,15.36,38.89,17.09,986.6,24.47,31.27,735.84,2021-11-26 18:16:37
50,00:00:50,4.13,278.83,81,21.85,0.52,11.54,41.39,17.18,986.8,24.48,31.26,761.72,2021-11-26 18:16:38
51,00:00:51,4.13,278.83,80,21.85,0.52,11.54,41.39,17.18,986.8,24.48,31.26,783.2,2021-11-26 18:16:39
52,00:00:52,3.54,238.83,80,23.38,0.47,11.16,46.73,17.52,986.8,24.47,31.24,805.66,2021-11-26 18:16:40
53,00:00:53,3.54,238.83,80,23.38,0.47,11.16,46.73,17.52,986.8,24.47,31.24,747.07,2021-11-26 18:16:41
54,00:00:54,3.54,238.83,80,23.38,0.47,11.16,46.73,17.52,986.8,24.47,31.24,754.88,2021-11-26 18:16:42
55,00:00:55,3.54,238.83,79,23.38,0.47,11.16,46.73,17.52,986.8,24.47,31.24,669.92,2021-11-26 18:16:43
56,00:00:56,3.3,222.5,79,20.11,0.55,11.15,50.11,17.87,986.9,24.48,31.22,703.12,2021-11-26 18:16:44
57,00:00:57,3.3,222.5,79,20.11,0.55,11.15,50.11,17.87,986.9,24.48,31.22,703.12,2021-11-26 18:16:45
58,00:00:58,3.12,210.33,80,22.75,0.38,8.79,41.79,16.84,986.9,24.48,31.21,681.15,2021-11-26 18:16:46
59,00:00:59,3.12,210.33,81,22.75,0.38,8.79,41.79,16.84,986.9,24.48,31.21,709.96,2021-11-26 18:16:47
60,00:01:00,3.12,210.33,82,22.75,0.38,8.79,41.79,16.84,986.9,24.48,31.21,740.23,2021-11-26 18:16:48
61,00:01:01,3.29,222.17,83,25.62,0.43,11.27,50.73,17.71,987.0,24.48,31.21,757.81,2021-11-26 18:16:49
62,00:01:02,3.29,222.17,83,25.62,0.43,11.27,50.73,17.71,987.0,24.48,31.21,740.23,2021-11-26 18:16:50
63,00:01:03,3.34,225.67,82,23.71,0.47,11.29,50.03,17.74,986.9,24.48,31.2,753.91,2021-11-26 18:16:51
64,00:01:04,3.34,225.67,82,23.71,0.47,11.29,50.03,17.74,986.9,24.48,31.2,688.48,2021-11-26 18:16:52
65,00:01:05,3.71,250.33,82,25.16,0.5,12.64,50.49,17.82,986.9,24.48,31.18,703.12,2021-11-26 18:16:53
66,00:01:06,3.71,250.33,82,25.16,0.5,12.64,50.49,17.82,986.9,24.48,31.18,732.42,2021-11-26 18:16:54
67,00:01:07,3.71,250.33,82,25.16,0.5,12.64,50.49,17.82,986.9,24.48,31.18,747.07,2021-11-26 18:16:55
68,00:01:08,3.75,253.0,82,22.0,0.53,11.69,46.21,17.58,986.9,24.48,31.18,747.07,2021-11-26 18:16:56
69,00:01:09,3.75,253.0,82,22.0,0.53,11.69,46.21,17.58,986.9,24.48,31.18,747.07,2021-11-26 18:16:57
70,00:01:10,3.75,253.0,82,22.0,0.53,11.69,46.21,17.58,986.9,24.48,31.18,776.37,2021-11-26 18:16:58
71,00:01:11,3.57,240.67,81,24.92,0.42,10.61,44.09,17.18,986.9,24.49,31.16,849.61,2021-11-26 18:16:59
72,00:01:12,3.57,240.67,81,24.92,0.42,10.61,44.09,17.18,986.9,24.49,31.16,864.26,2021-11-26 18:17:00
73,00:01:13,3.16,213.33,81,23.86,0.46,11.16,52.31,17.87,986.9,24.49,31.15,915.04,2021-11-26 18:17:01
74,00:01:14,3.16,213.33,80,23.86,0.46,11.16,52.31,17.87,986.9,24.49,31.15,930.66,2021-11-26 18:17:02
75,00:01:15,3.16,213.33,80,23.86,0.46,11.16,52.31,17.87,986.9,24.49,31.15,900.39,2021-11-26 18:17:03
76,00:01:16,3.31,223.5,78,25.61,0.39,10.12,45.28,17.19,986.8,24.48,31.13,897.46,2021-11-26 18:17:04
77,00:01:17,3.31,223.5,73,25.61,0.39,10.12,45.28,17.19,986.8,24.48,31.13,856.45,2021-11-26 18:17:05
78,00:01:18,3.14,212.0,70,26.34,0.38,10.18,48.02,17.37,986.8,24.49,31.13,871.09,2021-11-26 18:17:06
79,00:01:19,3.14,212.0,69,26.34,0.38,10.18,48.02,17.37,986.8,24.49,31.13,834.96,2021-11-26 18:17:07
80,00:01:20,3.14,212.0,69,26.34,0.38,10.18,48.02,17.37,986.8,24.49,31.13,798.83,2021-11-26 18:17:08
81,00:01:21,2.8,189.0,69,19.53,0.47,9.36,49.52,17.72,986.8,24.49,31.1,783.69,2021-11-26 18:17:09
82,00:01:22,2.8,189.0,70,19.53,0.47,9.36,49.52,17.72,986.8,24.49,31.1,768.55,2021-11-26 18:17:10
83,00:01:23,3.7,249.67,70,25.47,0.5,12.95,51.87,17.91,986.9,24.49,31.11,791.02,2021-11-26 18:17:11
84,00:01:24,3.7,249.67,72,25.47,0.5,12.95,51.87,17.91,986.9,24.49,31.11,805.66,2021-11-26 18:17:12
85,00:01:25,3.77,254.17,74,28.53,0.4,11.44,45.01,17.18,986.8,24.49,31.1,824.22,2021-11-26 18:17:13
86,00:01:26,3.77,254.17,74,28.53,0.4,11.44,45.01,17.18,986.8,24.49,31.1,863.28,2021-11-26 18:17:14
87,00:01:27,3.38,227.83,74,27.79,0.42,11.7,51.35,17.7,986.8,24.49,31.1,863.28,2021-11-26 18:17:15
88,00:01:28,3.38,227.83,74,27.79,0.42,11.7,51.35,17.7,986.8,24.49,31.1,849.61,2021-11-26 18:17:16
89,00:01:29,3.38,227.83,74,27.79,0.42,11.7,51.35,17.7,986.8,24.49,31.1,857.42,2021-11-26 18:17:17
90,00:01:30,3.49,235.67,74,26.32,0.5,13.23,56.14,18.13,986.8,24.5,31.08,827.15,2021-11-26 18:17:18
91,00:01:31,3.49,235.67,73,26.32,0.5,13.23,56.14,18.13,986.8,24.5,31.08,802.25,2021-11-26 18:17:19
92,00:01:32,3.34,225.33,72,23.97,0.45,10.9,48.37,17.59,986.9,24.5,31.06,732.42,2021-11-26 18:17:20
93,00:01:33,3.34,225.33,72,23.97,0.45,10.9,48.37,17.59,986.9,24.5,31.06,680.66,2021-11-26 18:17:21
94,00:01:34,3.34,225.33,73,23.97,0.45,10.9,48.37,17.59,986.9,24.5,31.06,699.71,2021-11-26 18:17:22
95,00:01:35,3.79,255.83,73,21.26,0.59,12.62,49.33,17.87,986.8,24.5,31.06,724.61,2021-11-26 18:17:23
96,00:01:36,3.79,255.83,75,21.26,0.59,12.62,49.33,17.87,986.8,24.5,31.06,772.46,2021-11-26 18:17:24
97,00:01:37,3.83,258.67,77,26.14,0.45,11.8,45.62,17.38,986.8,24.5,31.03,754.88,2021-11-26 18:17:25
98,00:01:38,3.83,258.67,77,26.14,0.45,11.8,45.62,17.38,986.8,24.5,31.03,791.02,2021-11-26 18:17:26
99,00:01:39,3.83,258.67,78,26.14,0.45,11.8,45.62,17.38,986.8,24.5,31.03,834.96,2021-11-26 18:17:27
100,00:01:40,2.91,196.67,78,23.34,0.34,8.06,40.98,16.56,986.8,24.5,31.03,783.69,2021-11-26 18:17:28
101,00:01:41,3.39,228.5,78,30.22,0.4,12.32,53.92,17.82,986.9,24.5,31.02,761.72,2021-11-26 18:17:29
102,00:01:42,3.39,228.5,78,30.22,0.4,12.32,53.92,17.82,986.9,24.5,31.02,747.07,2021-11-26 18:17:30
103,00:01:43,3.39,228.5,78,30.22,0.4,12.32,53.92,17.82,986.9,24.5,31.02,797.85,2021-11-26 18:17:31
104,00:01:44,2.96,199.83,78,25.52,0.44,11.33,56.7,18.06,986.8,24.5,31.01,761.72,2021-11-26 18:17:32
105,00:01:45,2.96,199.83,78,25.52,0.44,11.33,56.7,18.06,986.8,24.5,31.01,747.07,2021-11-26 18:17:33
106,00:01:46,3.1,209.5,78,25.79,0.45,11.62,55.47,18.01,986.8,24.5,31.01,768.55,2021-11-26 18:17:34
107,00:01:47,3.1,209.5,79,25.79,0.45,11.62,55.47,18.01,986.8,24.5,31.01,769.04,2021-11-26 18:17:35
108,00:01:48,3.1,209.5,79,25.79,0.45,11.62,55.47,18.01,986.8,24.5,31.01,761.72,2021-11-26 18:17:36
