Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.38,2021-11-29 15:33:03
2,00:00:02,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.64,2021-11-29 15:33:04
3,00:00:03,6.45,458.0,79,18.15,0.81,14.8,32.31,16.64,1013.3,22.76,29.6,464.84,2021-11-29 15:33:05
4,00:00:04,6.45,458.0,79,18.15,0.81,14.8,32.31,16.64,1013.3,22.76,29.6,492.19,2021-11-29 15:33:06
5,00:00:05,6.45,458.0,78,18.15,0.81,14.8,32.31,16.64,1013.3,22.76,29.6,510.94,2021-11-29 15:33:07
6,00:00:06,5.65,401.5,78,17.04,0.85,14.55,36.24,17.13,1013.4,22.75,29.59,815.43,2021-11-29 15:33:08
7,00:00:07,5.65,401.5,78,17.04,0.85,14.55,36.24,17.13,1013.4,22.75,29.59,613.28,2021-11-29 15:33:09
8,00:00:08,5.65,401.5,78,17.04,0.85,14.55,36.24,17.13,1013.4,22.75,29.59,351.56,2021-11-29 15:33:10
9,00:00:09,2.96,210.5,77,23.86,0.28,6.73,31.97,14.89,1013.6,22.76,29.57,701.82,2021-11-29 15:33:11
10,00:00:10,2.96,210.5,76,23.86,0.28,6.73,31.97,14.89,1013.6,22.76,29.57,416.02,2021-11-29 15:33:12
11,00:00:11,2.96,210.5,76,23.86,0.28,6.73,31.97,14.89,1013.6,22.76,29.57,292.97,2021-11-29 15:33:13
12,00:00:12,4.83,342.83,76,21.89,0.61,13.38,39.03,17.19,1013.6,22.76,29.54,292.97,2021-11-29 15:33:14
13,00:00:13,4.83,342.83,76,21.89,0.61,13.38,39.03,17.19,1013.6,22.76,29.54,871.09,2021-11-29 15:33:15
