Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
0.71,00:00:00,106,621.09
1.76,00:00:01,106,850.59
1.76,00:00:01,,691.41
2.78,00:00:02,105,328.12
3.71,00:00:03,105,1136.72
3.71,00:00:03,,296.88
3.71,00:00:03,,328.12
4.74,00:00:04,105,
5.66,00:00:05,105,1105.47
5.66,00:00:05,,570.31
5.66,00:00:05,,363.28
6.68,00:00:06,105,242.19
6.68,00:00:06,,328.12
6.68,00:00:06,,296.88
7.61,00:00:07,106,406.25
7.61,00:00:07,,562.50
8.57,00:00:08,106,261.72
8.57,00:00:08,,437.50
8.57,00:00:08,,402.34
9.59,00:00:09,106,226.56
9.59,00:00:09,,511.72
11.48,00:00:11,107,441.41
11.48,00:00:11,107,312.50
11.48,00:00:11,,300.78
11.48,00:00:11,,535.16
11.48,00:00:11,,593.75
13.43,00:00:13,106,281.25
14.48,00:00:14,107,1085.94
14.48,00:00:14,,753.91
15.4,00:00:15,107,472.66
16.43,00:00:16,107,683.59
16.43,00:00:16,,457.03
17.35,00:00:17,107,
18.3,00:00:18,108,1843.75
19.33,00:00:19,108,
20.26,00:00:20,108,1721.68
21.22,00:00:21,108,
22.24,00:00:22,108,2570.31
22.24,00:00:22,,226.56
23.17,00:00:23,108,257.81
23.17,00:00:23,,394.53
23.17,00:00:23,,375.00
24.2,00:00:24,107,230.47
24.2,00:00:24,,726.56
25.13,00:00:25,107,519.53
25.13,00:00:25,,378.91
26.17,00:00:26,107,734.38
27.09,00:00:27,108,515.62
27.09,00:00:27,,226.56
28.12,00:00:28,108,738.28
28.12,00:00:28,,730.47
29.05,00:00:29,108,734.38
30.07,00:00:30,109,519.53
30.07,00:00:30,,246.09
31,00:00:31,109,769.53
31,00:00:31,,777.34
32.03,00:00:32,109,710.94
32.96,00:00:32,110,589.84
32.96,00:00:32,,457.03
32.96,00:00:32,,246.09
33.91,00:00:33,110,484.38
33.91,00:00:33,,304.69
34.94,00:00:34,109,582.03
35.87,00:00:35,109,960.94
35.87,00:00:35,,703.12
36.89,00:00:36,109,780.27
37.82,00:00:37,108,457.03
37.82,00:00:37,,332.03
37.82,00:00:37,,429.69
38.85,00:00:38,108,843.75
39.79,00:00:39,108,937.50
40.71,00:00:40,108,527.34
40.71,00:00:40,,226.56
40.71,00:00:40,,570.31
41.75,00:00:41,108,550.78
41.75,00:00:41,,382.81
42.68,00:00:42,108,414.06
42.68,00:00:42,,226.56
42.68,00:00:42,,445.31
43.72,00:00:43,108,562.50
44.65,00:00:44,108,1039.06
44.65,00:00:44,,230.47
45.68,00:00:45,108,460.94
45.68,00:00:45,,359.38
45.68,00:00:45,,273.44
46.6,00:00:46,108,324.22
46.6,00:00:46,,246.09
46.6,00:00:46,,324.22
47.52,00:00:47,110,261.72
47.52,00:00:47,,281.25
47.52,00:00:47,,433.59
48.56,00:00:48,111,371.09
48.56,00:00:48,,300.78
48.56,00:00:48,,382.81
49.49,00:00:49,112,289.06
50.52,00:00:50,113,988.28
50.52,00:00:50,,417.97
52.48,00:00:52,113,1457.03
53.41,00:00:53,113,367.19
53.41,00:00:53,,246.09
54.43,00:00:54,113,832.03
54.43,00:00:54,,289.06
55.36,00:00:55,113,394.53
55.36,00:00:55,,624.02
56.39,00:00:56,113,
57.32,00:00:57,112,1597.66
57.32,00:00:57,,300.78
57.32,00:00:57,,277.34
58.36,00:00:58,112,988.28
59.27,00:00:59,112,414.06
60.31,00:01:00,111,703.12
60.31,00:01:00,,828.12
61.26,00:01:01,111,664.06
61.26,00:01:01,,425.78
62.19,00:01:02,111,378.91
62.19,00:01:02,,367.19
62.19,00:01:02,,277.34
63.15,00:01:03,111,
64.2,00:01:04,110,1183.59
64.2,00:01:04,,339.84
65.09,00:01:05,110,628.91
65.09,00:01:05,,847.66
66.12,00:01:06,110,308.59
66.12,00:01:06,,246.09
66.12,00:01:06,,437.50
67.06,00:01:07,110,363.28
68.08,00:01:08,110,828.12
68.08,00:01:08,,742.19
69.01,00:01:09,110,574.22
69.01,00:01:09,,320.31
70.04,00:01:10,110,601.56
70.04,00:01:10,,371.09
70.96,00:01:10,109,390.62
72,00:01:12,109,1539.06
72,00:01:12,,312.50
72.92,00:01:12,110,288.09
72.92,00:01:12,,226.56
72.92,00:01:12,,328.12
73.95,00:01:13,110,
74.89,00:01:14,110,1316.41
74.89,00:01:14,,246.09
74.89,00:01:14,,480.47
75.91,00:01:15,111,382.81
75.91,00:01:15,,617.19
76.84,00:01:16,111,414.06
76.84,00:01:16,,535.16
77.76,00:01:17,111,578.12
78.81,00:01:18,111,
79.73,00:01:19,111,2257.81
80.67,00:01:20,110,410.16
80.67,00:01:20,,339.84
80.67,00:01:20,,546.88
81.72,00:01:21,110,515.62
81.72,00:01:21,,269.53
82.64,00:01:22,111,519.53
82.64,00:01:22,,402.34
83.67,00:01:23,111,625.00
83.67,00:01:23,,273.44
83.67,00:01:23,,226.56
84.6,00:01:24,111,234.38
84.6,00:01:24,,472.66
85.63,00:01:25,111,535.16
85.63,00:01:25,,410.16
86.56,00:01:26,111,722.66
86.56,00:01:26,,503.91
87.59,00:01:27,111,929.69
88.51,00:01:28,112,460.94
88.51,00:01:28,,238.28
89.56,00:01:29,112,
91.42,00:01:31,112,2143.55
92.44,00:01:32,112,781.25
92.44,00:01:32,,394.53
93.39,00:01:33,113,839.84
94.38,00:01:34,112,601.56
95.4,00:01:35,112,1296.88
96.33,00:01:36,112,1218.75
97.27,00:01:37,112,
98.3,00:01:38,112,2160.16
99.23,00:01:39,112,527.34
99.23,00:01:39,,226.56
99.23,00:01:39,,269.53
100.25,00:01:40,111,1000.00
101.22,00:01:41,111,710.94
101.22,00:01:41,,378.91
102.15,00:01:42,111,863.28
103.18,00:01:43,111,511.72
103.18,00:01:43,,628.91
104.11,00:01:44,111,
105.13,00:01:45,112,1265.62
105.13,00:01:45,,343.75
105.13,00:01:45,,433.59
106.06,00:01:46,111,273.44
106.06,00:01:46,,308.59
106.06,00:01:46,,332.03
107.1,00:01:47,114,320.31
107.1,00:01:47,,375.00
107.1,00:01:47,,292.97
108.04,00:01:48,115,558.59
108.04,00:01:48,,269.53
109.07,00:01:49,116,456.05
109.07,00:01:49,,289.06
109.07,00:01:49,,324.22
109.07,00:01:49,,261.72
110,00:01:50,116,484.38
110,00:01:50,,265.62
110.92,00:01:50,116,1117.19
111.96,00:01:51,115,429.69
111.96,00:01:51,,460.94
112.89,00:01:52,115,445.31
112.89,00:01:52,,445.31
112.89,00:01:52,,382.81
113.91,00:01:53,114,421.88
113.91,00:01:53,,265.62
114.84,00:01:54,113,480.47
114.84,00:01:54,,535.16
115.79,00:01:55,113,566.41
116.82,00:01:56,112,929.69
116.82,00:01:56,,378.91
116.82,00:01:56,,382.81
117.84,00:01:57,112,703.12
118.77,00:01:58,111,570.31
119.79,00:01:59,110,953.12
119.79,00:01:59,,753.91
120.72,00:02:00,110,371.09
120.72,00:02:00,,339.84
121.65,00:02:01,110,429.69
121.65,00:02:01,,527.34
121.65,00:02:01,,343.75
122.68,00:02:02,111,273.44
122.68,00:02:02,,656.25
123.61,00:02:03,111,324.22
124.64,00:02:04,111,851.56
124.64,00:02:04,,250.00
124.64,00:02:04,,484.38
125.58,00:02:05,112,242.19
125.58,00:02:05,,277.34
125.58,00:02:05,,226.56
127.53,00:02:07,113,522.46
127.53,00:02:07,113,339.84
127.53,00:02:07,,289.06
127.53,00:02:07,,226.56
128.56,00:02:08,113,1414.06
128.56,00:02:08,,527.34
130.51,00:02:10,114,289.06
130.51,00:02:10,,480.47
131.46,00:02:11,114,875.00
131.46,00:02:11,,402.34
132.39,00:02:12,114,363.28
132.39,00:02:12,,703.12
135.39,00:02:15,114,464.84
135.39,00:02:15,114,621.09
135.39,00:02:15,113,230.47
135.39,00:02:15,,320.31
135.39,00:02:15,,300.78
135.39,00:02:15,,300.78
135.39,00:02:15,,406.25
136.33,00:02:16,114,687.50
136.33,00:02:16,,246.09
136.33,00:02:16,,429.69
137.26,00:02:17,114,468.75
137.26,00:02:17,,304.69
138.3,00:02:18,114,585.94
138.3,00:02:18,,433.59
139.23,00:02:19,115,710.94
140.18,00:02:20,114,574.22
140.18,00:02:20,,781.25
141.21,00:02:21,114,402.34
141.21,00:02:21,,378.91
142.14,00:02:22,112,734.38
142.14,00:02:22,,644.53
143.09,00:02:23,111,367.19
143.09,00:02:23,,464.84
144.12,00:02:24,110,300.78
144.12,00:02:24,,402.34
144.12,00:02:24,,405.27
145.05,00:02:25,110,808.59
146.1,00:02:26,109,652.34
146.1,00:02:26,,363.28
146.1,00:02:26,,226.56
147.02,00:02:27,109,554.69
148.05,00:02:28,108,492.19
148.05,00:02:28,,593.75
148.05,00:02:28,,359.38
149,00:02:29,108,
149.92,00:02:29,108,1867.19
150.95,00:02:30,108,316.41
150.95,00:02:30,,546.88
151.94,00:02:31,108,738.28
152.86,00:02:32,109,636.72
152.86,00:02:32,,472.66
152.86,00:02:32,,421.88
153.89,00:02:33,109,917.97
155.77,00:02:35,110,613.28
155.77,00:02:35,,332.03
156.8,00:02:36,110,265.62
156.8,00:02:36,,230.47
157.72,00:02:37,110,1425.78
157.72,00:02:37,,226.56
158.74,00:02:38,110,1605.47
158.74,00:02:38,110,300.78
159.67,00:02:39,111,714.84
160.7,00:02:40,111,589.84
161.62,00:02:41,110,863.28
161.62,00:02:41,,304.69
161.62,00:02:41,,245.12
162.65,00:02:42,110,644.53
162.65,00:02:42,,335.94
162.65,00:02:42,,273.44
163.58,00:02:43,110,320.31
163.58,00:02:43,,445.31
163.58,00:02:43,,242.19
164.62,00:02:44,111,312.50
164.62,00:02:44,,367.19
164.62,00:02:44,,406.25
165.54,00:02:45,112,296.88
165.54,00:02:45,,562.50
166.49,00:02:46,112,226.56
166.49,00:02:46,,242.19
166.49,00:02:46,,371.09
167.54,00:02:47,112,476.56
167.54,00:02:47,,480.47
169.49,00:02:49,112,394.53
169.49,00:02:49,,691.41
170.41,00:02:50,113,449.22
170.41,00:02:50,,394.53
170.41,00:02:50,,308.59
171.35,00:02:51,114,945.31
172.37,00:02:52,114,640.62
172.37,00:02:52,,320.31
174.33,00:02:54,115,355.47
174.33,00:02:54,115,292.97
174.33,00:02:54,,367.19
174.33,00:02:54,,1171.88
175.37,00:02:55,115,738.28
176.33,00:02:56,114,796.88
176.33,00:02:56,,328.12
178.21,00:02:58,114,472.66
178.21,00:02:58,114,421.88
178.21,00:02:58,,730.47
178.21,00:02:58,,339.84
178.21,00:02:58,,226.56
179.24,00:02:59,114,492.19
179.24,00:02:59,,332.03
180.17,00:03:00,114,682.62
180.17,00:03:00,,261.72
181.16,00:03:01,115,250.00
181.16,00:03:01,,359.38
182.18,00:03:02,115,
184.04,00:03:04,115,1859.38
184.04,00:03:04,,230.47
184.04,00:03:04,,285.16
185.06,00:03:05,114,789.06
185.06,00:03:05,,335.94
186.01,00:03:06,114,226.56
186.01,00:03:06,,234.38
186.01,00:03:06,,429.69
187.04,00:03:07,114,390.62
187.04,00:03:07,115,367.19
187.04,00:03:07,,234.38
187.04,00:03:07,,292.97
187.04,00:03:07,,453.12
187.04,00:03:07,,363.28
187.98,00:03:07,115,265.62
187.98,00:03:07,,289.06
189.01,00:03:09,115,1230.47
189.93,00:03:09,116,832.03
190.96,00:03:10,115,996.09
191.91,00:03:11,115,1058.59
192.84,00:03:12,115,753.91
192.84,00:03:12,,496.09
193.85,00:03:13,115,
194.77,00:03:14,114,1457.03
194.77,00:03:14,,367.19
195.81,00:03:15,114,1003.91
195.81,00:03:15,,289.06
196.75,00:03:16,114,718.75
197.78,00:03:17,114,421.88
198.71,00:03:18,115,987.30
198.71,00:03:18,,769.53
199.66,00:03:19,115,
200.69,00:03:20,115,1390.62
200.69,00:03:20,,324.22
201.62,00:03:21,116,820.31
201.62,00:03:21,,390.62
202.65,00:03:22,116,644.53
202.65,00:03:22,,339.84
203.58,00:03:23,116,632.81
203.58,00:03:23,,453.12
204.51,00:03:24,116,691.41
204.51,00:03:24,,320.31
205.58,00:03:25,117,226.56
