Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.69,2021-12-01 15:20:41
2,00:00:02,5.95,336.67,79,28.63,0.46,13.44,39.92,16.96,996.7,23.53,40.14,679.69,2021-12-01 15:20:42
3,00:00:03,5.95,336.67,81,28.63,0.46,13.44,39.92,16.96,996.7,23.53,40.14,700.2,2021-12-01 15:20:43
4,00:00:04,5.95,336.67,83,28.63,0.46,13.44,39.92,16.96,996.7,23.53,40.14,703.12,2021-12-01 15:20:44
5,00:00:05,4.34,245.5,83,20.68,0.5,10.45,42.57,17.28,996.7,23.53,40.1,820.31,2021-12-01 15:20:45
6,00:00:06,4.34,245.5,83,20.68,0.5,10.45,42.57,17.28,996.7,23.53,40.1,871.09,2021-12-01 15:20:46
7,00:00:07,4.34,245.5,84,20.68,0.5,10.45,42.57,17.28,996.7,23.53,40.1,785.16,2021-12-01 15:20:47
8,00:00:08,3.97,224.5,83,19.09,0.47,9.08,40.45,17.03,996.6,23.54,40.05,835.94,2021-12-01 15:20:48
9,00:00:09,3.97,224.5,83,19.09,0.47,9.08,40.45,17.03,996.6,23.54,40.05,835.94,2021-12-01 15:20:49
10,00:00:10,3.97,224.5,82,19.09,0.47,9.08,40.45,17.03,996.6,23.54,40.05,783.85,2021-12-01 15:20:50
11,00:00:11,4.0,226.67,81,20.11,0.46,9.4,41.47,17.1,996.7,23.54,40.02,785.16,2021-12-01 15:20:51
12,00:00:12,4.0,226.67,81,20.11,0.46,9.4,41.47,17.1,996.7,23.54,40.02,835.94,2021-12-01 15:20:52
13,00:00:13,4.0,226.67,79,20.11,0.46,9.4,41.47,17.1,996.7,23.54,40.02,785.16,2021-12-01 15:20:53
14,00:00:14,3.94,223.17,79,20.69,0.44,9.14,40.96,16.99,996.7,23.54,39.98,906.25,2021-12-01 15:20:54
15,00:00:15,3.94,223.17,78,20.69,0.44,9.14,40.96,16.99,996.7,23.54,39.98,910.16,2021-12-01 15:20:55
16,00:00:16,3.94,223.17,78,20.69,0.44,9.14,40.96,16.99,996.7,23.54,39.98,781.25,2021-12-01 15:20:56
