Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.82,2021-11-30 15:21:53
2,00:00:02,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.84,2021-11-30 15:21:54
3,00:00:03,5.73,305.5,110.0,27.56,0.66,18.25,59.74,18.51,1006.4,25.95,41.87,350.26,2021-11-30 15:21:55
4,00:00:04,5.73,305.5,109.0,27.56,0.66,18.25,59.74,18.51,1006.4,25.95,41.87,525.39,2021-11-30 15:21:56
5,00:00:05,5.73,305.5,109.0,27.56,0.66,18.25,59.74,18.51,1006.4,25.95,41.87,550.78,2021-11-30 15:21:57
6,00:00:06,4.29,228.67,109.0,22.04,0.56,12.55,54.88,18.21,1006.5,25.96,41.85,688.8,2021-11-30 15:21:58
7,00:00:07,4.29,228.67,109.0,22.04,0.56,12.55,54.88,18.21,1006.5,25.96,41.85,396.48,2021-11-30 15:21:59
8,00:00:08,3.73,199.0,109.0,23.79,0.5,12.09,60.75,18.41,1006.5,25.96,41.86,582.03,2021-11-30 15:22:00
9,00:00:09,3.73,199.0,109.0,23.79,0.5,12.09,60.75,18.41,1006.5,25.96,41.86,429.69,2021-11-30 15:22:01
10,00:00:10,3.73,199.0,110.0,23.79,0.5,12.09,60.75,18.41,1006.5,25.96,41.86,309.9,2021-11-30 15:22:02
11,00:00:11,3.6,191.67,110.0,18.74,0.82,15.42,80.45,19.2,1006.5,25.97,41.89,1222.66,2021-11-30 15:22:03
12,00:00:12,3.6,191.67,110.0,18.74,0.82,15.42,80.45,19.2,1006.5,25.97,41.89,348.96,2021-11-30 15:22:04
13,00:00:13,3.6,191.67,110.0,18.74,0.82,15.42,80.45,19.2,1006.5,25.97,41.89,480.47,2021-11-30 15:22:05
14,00:00:14,3.6,191.67,110.0,18.74,0.82,15.42,80.45,19.2,1006.5,25.97,41.89,352.86,2021-11-30 15:22:06
15,00:00:15,3.69,196.5,111.0,18.15,0.7,12.79,65.09,18.74,1006.7,25.99,41.91,707.03,2021-11-30 15:22:07
16,00:00:16,3.69,196.5,110.0,18.15,0.7,12.79,65.09,18.74,1006.7,25.99,41.91,351.56,2021-11-30 15:22:08
17,00:00:17,3.69,196.5,110.0,18.15,0.7,12.79,65.09,18.74,1006.7,25.99,41.91,644.53,2021-11-30 15:22:09
18,00:00:18,3.69,196.5,110.0,18.15,0.7,12.79,65.09,18.74,1006.7,25.99,41.91,750.0,2021-11-30 15:22:10
19,00:00:19,3.15,168.0,110.0,15.59,0.71,11.18,66.55,18.79,1006.7,25.99,41.92,378.58,2021-11-30 15:22:11
20,00:00:20,3.15,168.0,110.0,15.59,0.71,11.18,66.55,18.79,1006.7,25.99,41.92,367.19,2021-11-30 15:22:12
21,00:00:21,3.15,168.0,111.0,15.59,0.71,11.18,66.55,18.79,1006.7,25.99,41.92,474.61,2021-11-30 15:22:13
22,00:00:22,2.87,152.83,111.0,16.83,0.51,8.75,57.25,18.27,1006.5,26.0,41.95,313.8,2021-11-30 15:22:14
23,00:00:23,2.87,152.83,111.0,16.83,0.51,8.75,57.25,18.27,1006.5,26.0,41.95,261.72,2021-11-30 15:22:15
