Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
0,00:00:00,97,609.38
0.98,00:00:00,98,601.56
0.98,00:00:00,,589.84
2.01,00:00:02,98,609.38
2.01,00:00:02,,585.94
2.94,00:00:02,99,609.38
3.86,00:00:03,100,589.84
3.86,00:00:03,,597.66
4.89,00:00:04,100,625.00
4.89,00:00:04,,675.78
5.81,00:00:05,100,667.97
6.84,00:00:06,99,640.62
6.84,00:00:06,,632.81
7.86,00:00:07,99,671.88
8.78,00:00:08,98,746.09
9.85,00:00:09,95,753.91
9.85,00:00:09,,742.19
11.72,00:00:11,94,671.88
12.64,00:00:12,93,644.53
12.64,00:00:12,,632.81
13.67,00:00:13,93,644.53
13.67,00:00:13,,539.06
14.59,00:00:14,93,807.62
15.62,00:00:15,93,675.78
16.55,00:00:16,92,671.88
16.55,00:00:16,,644.53
17.58,00:00:17,93,625.00
18.5,00:00:18,93,632.81
18.5,00:00:18,,589.84
19.53,00:00:19,93,636.72
19.53,00:00:19,,707.03
20.44,00:00:20,93,757.81
21.48,00:00:21,94,761.72
22.42,00:00:22,94,714.84
22.42,00:00:22,,667.97
23.46,00:00:23,94,640.62
24.39,00:00:24,94,628.91
24.39,00:00:24,,632.81
25.32,00:00:25,94,656.25
26.36,00:00:26,93,687.50
26.36,00:00:26,,718.75
27.31,00:00:27,93,667.97
28.33,00:00:28,93,644.53
28.33,00:00:28,,636.72
29.26,00:00:29,93,632.81
30.19,00:00:30,92,664.06
30.19,00:00:30,,722.66
31.21,00:00:31,92,761.72
32.14,00:00:32,92,745.12
32.14,00:00:32,,675.78
33.2,00:00:33,92,652.34
34.14,00:00:34,92,640.62
34.14,00:00:34,,648.44
35.06,00:00:35,92,671.88
36.08,00:00:36,91,675.78
36.08,00:00:36,,683.59
37.01,00:00:37,91,648.44
37.98,00:00:37,91,625.00
37.98,00:00:37,,613.28
39.01,00:00:39,91,621.09
39.94,00:00:39,91,660.16
39.94,00:00:39,,746.09
40.98,00:00:40,92,769.53
41.92,00:00:41,92,703.12
42.94,00:00:42,92,695.31
42.94,00:00:42,,644.53
43.87,00:00:43,92,640.62
43.87,00:00:43,,664.06
44.9,00:00:44,92,679.69
45.84,00:00:45,91,683.59
46.76,00:00:46,90,691.41
46.76,00:00:46,,656.25
47.81,00:00:47,90,636.72
47.81,00:00:47,,625.00
48.74,00:00:48,90,632.81
50.7,00:00:50,91,647.46
50.7,00:00:50,,691.41
51.65,00:00:51,91,691.41
52.61,00:00:52,91,675.78
52.61,00:00:52,,648.44
53.64,00:00:53,92,628.91
55.61,00:00:55,92,636.72
55.61,00:00:55,92,660.16
55.61,00:00:55,,679.69
56.54,00:00:56,91,660.16
56.54,00:00:56,,308.59
56.54,00:00:56,,343.75
57.57,00:00:57,91,628.91
58.5,00:00:58,92,617.19
58.5,00:00:58,,613.28
59.53,00:00:59,92,628.91
60.47,00:01:00,92,671.88
