Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
1.25,00:00:01,94,589.84
1.25,00:00:01,97,585.94
1.25,00:00:01,,578.12
1.25,00:00:01,,558.59
2.29,00:00:02,99,550.78
2.29,00:00:02,,562.50
3.32,00:00:03,102,550.78
3.32,00:00:03,,570.31
4.34,00:00:04,103,589.84
5.26,00:00:05,104,589.84
5.26,00:00:05,,589.84
6.28,00:00:06,104,574.22
6.28,00:00:06,,566.41
8.39,00:00:08,104,566.41
8.39,00:00:08,104,585.94
8.39,00:00:08,,582.03
10.23,00:00:10,103,589.84
10.23,00:00:10,,601.56
12.23,00:00:12,103,601.56
12.23,00:00:12,,601.56
13.25,00:00:13,102,608.40
14.27,00:00:14,101,605.47
14.27,00:00:14,100,613.28
14.27,00:00:14,99,613.28
14.27,00:00:14,,605.47
14.27,00:00:14,,605.47
14.27,00:00:14,,230.47
15.29,00:00:15,99,269.53
15.29,00:00:15,,703.12
16.22,00:00:16,99,617.19
17.24,00:00:17,99,648.44
17.24,00:00:17,,597.66
18.27,00:00:18,99,605.47
18.27,00:00:18,,601.56
19.29,00:00:19,99,585.94
20.22,00:00:20,100,578.12
20.22,00:00:20,,597.66
22.29,00:00:22,100,609.38
22.29,00:00:22,100,613.28
22.29,00:00:22,,613.28
23.21,00:00:23,99,625.00
23.21,00:00:23,,613.28
25.27,00:00:25,99,613.28
25.27,00:00:25,99,593.75
25.27,00:00:25,,589.84
27.23,00:00:27,99,593.75
27.23,00:00:27,100,585.94
27.23,00:00:27,,578.12
27.23,00:00:27,,605.47
28.29,00:00:28,100,550.78
29.22,00:00:29,101,581.05
29.22,00:00:29,,582.03
30.24,00:00:30,102,582.03
30.24,00:00:30,,605.47
31.19,00:00:31,102,621.09
32.22,00:00:32,102,625.00
32.22,00:00:32,,632.81
35.22,00:00:35,102,644.53
35.22,00:00:35,100,699.22
35.22,00:00:35,99,679.69
35.22,00:00:35,,667.97
36.25,00:00:36,96,632.81
36.25,00:00:36,,628.91
37.18,00:00:37,95,628.91
37.18,00:00:37,,640.62
38.21,00:00:38,95,621.09
39.23,00:00:39,95,609.38
39.23,00:00:39,,617.19
41.17,00:00:41,96,621.09
41.17,00:00:41,96,613.28
41.17,00:00:41,,605.47
42.21,00:00:42,97,609.38
42.21,00:00:42,,609.38
43.13,00:00:43,98,625.00
44.15,00:00:44,98,605.47
44.15,00:00:44,,597.66
45.18,00:00:45,99,593.75
45.18,00:00:45,,585.94
47.14,00:00:47,99,601.56
47.14,00:00:47,99,604.49
47.14,00:00:47,,605.47
48.16,00:00:48,100,593.75
48.16,00:00:48,,589.84
50.13,00:00:50,100,566.41
50.13,00:00:50,100,628.91
50.13,00:00:50,,625.00
51.16,00:00:51,100,632.81
51.16,00:00:51,,621.09
52.19,00:00:52,99,628.91
56.19,00:00:56,97,613.28
56.19,00:00:56,97,605.47
56.19,00:00:56,97,585.94
56.19,00:00:56,98,589.84
56.19,00:00:56,,582.03
56.19,00:00:56,,589.84
56.19,00:00:56,,308.59
56.19,00:00:56,,308.59
57.11,00:00:57,98,609.38
57.11,00:00:57,,589.84
58.13,00:00:58,99,589.84
59.16,00:00:59,99,597.66
59.16,00:00:59,,617.19
60.19,00:01:00,99,644.53
62.13,00:01:02,99,656.25
62.13,00:01:02,98,628.91
62.13,00:01:02,,613.28
62.13,00:01:02,,609.38
63.16,00:01:03,98,582.03
66.13,00:01:06,98,570.31
66.13,00:01:06,99,574.22
66.13,00:01:06,100,581.05
66.13,00:01:06,,593.75
66.13,00:01:06,,613.28
66.13,00:01:06,,609.38
67.16,00:01:07,101,585.94
68.1,00:01:08,101,574.22
68.1,00:01:08,,597.66
69.12,00:01:09,101,582.03
69.12,00:01:09,,574.22
70.15,00:01:10,101,613.28
71.07,00:01:11,102,644.53
71.07,00:01:11,,625.00
72.12,00:01:12,102,621.09
74.07,00:01:14,101,609.38
74.07,00:01:14,100,593.75
74.07,00:01:14,,585.94
74.07,00:01:14,,578.12
75.09,00:01:15,100,601.56
75.09,00:01:15,,609.38
76.12,00:01:16,100,617.19
78.07,00:01:18,99,632.81
78.07,00:01:18,99,628.91
78.07,00:01:18,,621.09
79.12,00:01:19,98,597.66
79.12,00:01:19,,593.75
80.16,00:01:20,98,582.03
80.16,00:01:20,,574.22
81.08,00:01:21,99,578.12
82.12,00:01:22,99,605.47
82.12,00:01:22,,640.62
84.09,00:01:24,100,670.90
86.13,00:01:26,101,703.12
86.13,00:01:26,101,679.69
86.13,00:01:26,99,660.16
86.13,00:01:26,,628.91
86.13,00:01:26,,613.28
87.03,00:01:27,98,609.38
87.03,00:01:27,,589.84
88.05,00:01:28,98,589.84
89.07,00:01:29,98,621.09
89.07,00:01:29,,660.16
90.08,00:01:30,98,671.88
91.1,00:01:31,99,687.50
91.1,00:01:31,,679.69
92.07,00:01:32,99,664.06
93.08,00:01:33,97,621.09
93.08,00:01:33,,613.28
94.06,00:01:34,98,597.66
94.06,00:01:34,,597.66
95.07,00:01:35,98,601.56
96.1,00:01:36,98,644.53
96.1,00:01:36,,707.03
97.04,00:01:37,99,695.31
100.02,00:01:40,99,683.59
100.02,00:01:40,99,671.88
100.02,00:01:40,,667.97
102,00:01:42,97,640.62
102,00:01:42,,620.12
103.02,00:01:43,96,601.56
103.02,00:01:43,97,585.94
103.02,00:01:43,,585.94
104.01,00:01:44,97,585.94
104.01,00:01:44,,636.72
105.03,00:01:45,97,718.75
105.03,00:01:45,99,683.59
105.03,00:01:45,,703.12
107.01,00:01:47,99,691.41
108.06,00:01:48,100,671.88
108.06,00:01:48,97,644.53
108.06,00:01:48,,625.00
108.98,00:01:48,97,609.38
108.98,00:01:48,,605.47
110.03,00:01:50,97,609.38
110.03,00:01:50,,640.62
110.97,00:01:50,97,660.16
112.01,00:01:52,96,656.25
112.01,00:01:52,,652.34
113.05,00:01:53,96,644.53
115.03,00:01:55,95,632.81
115.03,00:01:55,94,621.09
115.03,00:01:55,,613.28
115.98,00:01:55,94,593.75
115.98,00:01:55,,582.03
119.98,00:01:59,95,589.84
119.98,00:01:59,96,585.94
119.98,00:01:59,,613.28
120.93,00:02:00,98,647.46
120.93,00:02:00,,667.97
121.95,00:02:01,98,742.19
122.98,00:02:02,99,675.78
122.98,00:02:02,,675.78
124.01,00:02:04,99,652.34
124.93,00:02:04,96,628.91
124.93,00:02:04,96,613.28
124.93,00:02:04,97,601.56
124.93,00:02:04,,601.56
124.93,00:02:04,,617.19
126.93,00:02:06,97,636.72
126.93,00:02:06,97,671.88
126.93,00:02:06,,667.97
127.99,00:02:07,97,664.06
127.99,00:02:07,,671.88
128.92,00:02:08,96,644.53
129.95,00:02:09,95,601.56
129.95,00:02:09,,625.00
130.97,00:02:10,95,597.66
130.97,00:02:10,,597.66
132.95,00:02:12,95,628.91
132.95,00:02:12,95,691.41
132.95,00:02:12,,726.56
133.91,00:02:13,96,695.31
134.93,00:02:14,97,675.78
134.93,00:02:14,,660.16
135.96,00:02:15,96,627.93
136.9,00:02:16,96,621.09
136.9,00:02:16,,617.19
137.94,00:02:17,96,605.47
138.96,00:02:18,96,605.47
138.96,00:02:18,,664.06
139.98,00:02:19,97,699.22
140.99,00:02:20,97,710.94
140.99,00:02:20,,703.12
144.91,00:02:24,98,683.59
144.91,00:02:24,97,664.06
144.91,00:02:24,,632.81
147.9,00:02:27,97,613.28
147.9,00:02:27,97,605.47
147.9,00:02:27,97,593.75
147.9,00:02:27,97,609.38
147.9,00:02:27,98,640.62
147.9,00:02:27,,679.69
147.9,00:02:27,,679.69
147.9,00:02:27,,707.03
148.94,00:02:28,98,707.03
150.93,00:02:30,97,656.25
150.93,00:02:30,96,632.81
150.93,00:02:30,,617.19
151.85,00:02:31,96,617.19
151.85,00:02:31,,609.38
152.87,00:02:32,96,636.72
153.96,00:02:33,96,664.06
153.96,00:02:33,,698.24
154.88,00:02:34,96,718.75
155.91,00:02:35,96,714.84
155.91,00:02:35,,699.22
156.94,00:02:36,95,664.06
157.87,00:02:37,94,636.72
157.87,00:02:37,,613.28
158.89,00:02:38,94,609.38
159.92,00:02:39,95,628.91
159.92,00:02:39,,683.59
160.9,00:02:40,95,722.66
162.86,00:02:42,95,726.56
162.86,00:02:42,,714.84
163.87,00:02:43,96,238.28
163.87,00:02:43,95,437.50
163.87,00:02:43,,640.62
163.87,00:02:43,,628.91
165.88,00:02:45,95,617.19
166.9,00:02:46,96,597.66
166.9,00:02:46,96,605.47
166.9,00:02:46,,656.25
168.85,00:02:48,96,687.50
168.85,00:02:48,96,734.38
168.85,00:02:48,,707.03
169.87,00:02:49,97,675.78
169.87,00:02:49,,652.34
170.9,00:02:50,97,625.00
171.83,00:02:51,96,613.28
171.83,00:02:51,,600.59
172.89,00:02:52,96,589.84
172.89,00:02:52,,632.81
173.9,00:02:53,97,679.69
174.82,00:02:54,97,730.47
174.82,00:02:54,,683.59
175.84,00:02:55,97,683.59
176.83,00:02:56,96,652.34
176.83,00:02:56,,628.91
177.82,00:02:57,96,617.19
178.85,00:02:58,95,625.00
178.85,00:02:58,,644.53
179.9,00:02:59,95,667.97
180.82,00:03:00,94,648.44
180.82,00:03:00,,636.72
181.85,00:03:01,94,625.00
181.85,00:03:01,,601.56
184.8,00:03:04,94,582.03
187.81,00:03:07,94,574.22
187.81,00:03:07,95,566.41
187.81,00:03:07,96,566.41
187.81,00:03:07,,617.19
187.81,00:03:07,,679.69
188.85,00:03:08,97,683.59
188.85,00:03:08,97,667.97
188.85,00:03:08,96,671.88
188.85,00:03:08,,652.34
188.85,00:03:08,,617.19
191.77,00:03:11,96,608.40
191.77,00:03:11,96,601.56
191.77,00:03:11,,582.03
193.82,00:03:13,97,589.84
193.82,00:03:13,98,636.72
193.82,00:03:13,98,664.06
193.82,00:03:13,,675.78
193.82,00:03:13,,679.69
194.87,00:03:14,99,667.97
194.87,00:03:14,,386.72
195.8,00:03:15,99,246.09
195.8,00:03:15,,621.09
196.86,00:03:16,98,605.47
197.8,00:03:17,99,593.75
197.8,00:03:17,,589.84
199.76,00:03:19,99,605.47
199.76,00:03:19,99,628.91
199.76,00:03:19,,660.16
201.81,00:03:21,99,652.34
201.81,00:03:21,99,648.44
201.81,00:03:21,,636.72
202.82,00:03:22,98,613.28
202.82,00:03:22,,601.56
203.8,00:03:23,97,589.84
203.8,00:03:23,,585.94
204.82,00:03:24,97,613.28
206.8,00:03:26,97,648.44
206.8,00:03:26,98,644.53
206.8,00:03:26,,660.16
207.75,00:03:27,97,636.72
207.75,00:03:27,,620.12
208.79,00:03:28,97,605.47
208.79,00:03:28,,605.47
211.79,00:03:31,97,597.66
211.79,00:03:31,97,597.66
211.79,00:03:31,,648.44
212.73,00:03:32,97,695.31
213.78,00:03:33,98,746.09
213.78,00:03:33,99,722.66
213.78,00:03:33,,718.75
214.8,00:03:34,99,687.50
214.8,00:03:34,,652.34
216.79,00:03:36,97,628.91
217.81,00:03:37,96,625.00
217.81,00:03:37,,605.47
218.74,00:03:38,96,601.56
219.79,00:03:39,96,628.91
219.79,00:03:39,,667.97
220.71,00:03:40,96,703.12
221.76,00:03:41,96,742.19
221.76,00:03:41,,722.66
222.69,00:03:42,97,679.69
223.74,00:03:43,95,648.44
223.74,00:03:43,,636.72
224.77,00:03:44,94,621.09
225.7,00:03:45,94,621.09
225.7,00:03:45,,656.25
227.76,00:03:47,94,690.43
227.76,00:03:47,94,699.22
227.76,00:03:47,,683.59
228.68,00:03:48,94,664.06
229.73,00:03:49,93,648.44
229.73,00:03:49,,625.00
231.69,00:03:51,92,609.38
231.69,00:03:51,,589.84
232.68,00:03:52,92,589.84
234.73,00:03:54,93,617.19
234.73,00:03:54,93,648.44
234.73,00:03:54,94,687.50
234.73,00:03:54,,722.66
234.73,00:03:54,,296.88
234.73,00:03:54,,382.81
235.66,00:03:55,94,656.25
238.68,00:03:58,94,628.91
238.68,00:03:58,94,613.28
238.68,00:03:58,95,605.47
238.68,00:03:58,,605.47
238.68,00:03:58,,632.81
239.71,00:03:59,95,671.88
239.71,00:03:59,,664.06
240.66,00:04:00,96,679.69
242.63,00:04:02,95,648.44
242.63,00:04:02,95,312.50
242.63,00:04:02,,332.03
242.63,00:04:02,,617.19
243.68,00:04:03,95,605.47
243.68,00:04:03,,582.03
245.65,00:04:05,95,600.59
245.65,00:04:05,96,609.38
245.65,00:04:05,,632.81
246.68,00:04:06,97,656.25
246.68,00:04:06,,683.59
247.71,00:04:07,97,691.41
248.65,00:04:08,97,648.44
248.65,00:04:08,,632.81
249.67,00:04:09,96,625.00
250.7,00:04:10,95,621.09
250.7,00:04:10,,644.53
252.66,00:04:12,95,687.50
252.66,00:04:12,94,710.94
252.66,00:04:12,,699.22
253.64,00:04:13,95,683.59
254.69,00:04:14,94,636.72
254.69,00:04:14,,632.81
255.71,00:04:15,94,613.28
256.65,00:04:16,95,617.19
256.65,00:04:16,,652.34
257.68,00:04:17,95,695.31
258.61,00:04:18,95,695.31
258.61,00:04:18,,664.06
259.65,00:04:19,94,648.44
260.58,00:04:20,94,636.72
260.58,00:04:20,,617.19
261.67,00:04:21,93,632.81
261.67,00:04:21,,666.99
262.59,00:04:22,93,683.59
264.63,00:04:24,93,683.59
264.63,00:04:24,92,664.06
264.63,00:04:24,,644.53
265.68,00:04:25,92,617.19
265.68,00:04:25,,609.38
266.6,00:04:26,92,605.47
267.66,00:04:27,92,628.91
267.66,00:04:27,,675.78
269.63,00:04:29,92,695.31
269.63,00:04:29,92,656.25
269.63,00:04:29,,660.16
270.65,00:04:30,92,703.12
272.61,00:04:32,91,664.06
272.61,00:04:32,,648.44
273.57,00:04:33,91,656.25
274.6,00:04:34,91,656.25
274.6,00:04:34,,644.53
275.62,00:04:35,92,621.09
275.62,00:04:35,92,609.38
275.62,00:04:35,,605.47
276.64,00:04:36,93,609.38
276.64,00:04:36,,628.91
277.57,00:04:37,94,613.28
278.65,00:04:38,97,601.56
278.65,00:04:38,,597.66
280.62,00:04:40,98,593.75
280.62,00:04:40,,605.47
281.65,00:04:41,99,584.96
281.65,00:04:41,100,582.03
281.65,00:04:41,,570.31
282.58,00:04:42,101,578.12
282.58,00:04:42,,593.75
284.58,00:04:44,101,644.53
284.58,00:04:44,102,707.03
284.58,00:04:44,,648.44
285.6,00:04:45,102,628.91
286.56,00:04:46,102,625.00
286.56,00:04:46,,648.44
287.58,00:04:47,101,679.69
288.53,00:04:48,96,695.31
288.53,00:04:48,,628.91
289.55,00:04:49,96,617.19
289.55,00:04:49,,613.28
291.52,00:04:51,96,632.81
291.52,00:04:51,96,628.91
291.52,00:04:51,,605.47
292.57,00:04:52,97,597.66
292.57,00:04:52,,589.84
293.61,00:04:53,97,593.75
294.84,00:04:54,83,679.69
294.84,00:04:54,,675.78
296.83,00:04:56,85,691.41
296.83,00:04:56,86,718.75
296.83,00:04:56,,765.62
297.86,00:04:57,86,753.91
298.86,00:04:58,86,710.94
299.78,00:04:59,86,671.88
