Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
0.55,00:00:00,79,722.66
0.55,00:00:00,79,726.56
0.55,00:00:00,,722.66
1.52,00:00:01,80,718.75
2.46,00:00:02,80,710.94
2.46,00:00:02,,750.00
3.49,00:00:03,81,752.93
4.42,00:00:04,81,757.81
5.45,00:00:05,82,750.00
5.45,00:00:05,,714.84
7.4,00:00:07,82,687.50
9.45,00:00:09,81,667.97
9.45,00:00:09,81,644.53
9.45,00:00:09,82,625.00
9.45,00:00:09,,675.78
9.45,00:00:09,,714.84
10.36,00:00:10,83,773.44
12.4,00:00:12,83,773.44
12.4,00:00:12,83,777.34
14.36,00:00:14,82,789.06
14.36,00:00:14,80,796.88
14.36,00:00:14,,792.97
15.39,00:00:15,79,785.16
18.29,00:00:18,77,765.62
18.29,00:00:18,77,785.16
18.29,00:00:18,76,792.97
18.29,00:00:18,,792.97
19.32,00:00:19,76,816.41
22.33,00:00:22,76,820.31
22.33,00:00:22,75,828.12
22.33,00:00:22,,807.62
24.31,00:00:24,75,792.97
24.31,00:00:24,75,785.16
24.31,00:00:24,75,789.06
26.26,00:00:26,75,789.06
26.26,00:00:26,75,792.97
26.26,00:00:26,,812.50
27.19,00:00:27,75,812.50
28.22,00:00:28,75,804.69
29.26,00:00:29,75,808.59
29.26,00:00:29,,800.78
31.23,00:00:31,75,777.34
31.23,00:00:31,75,773.44
32.16,00:00:32,75,757.81
32.16,00:00:32,,757.81
33.19,00:00:33,76,734.38
34.15,00:00:34,76,757.81
35.19,00:00:35,78,750.00
35.19,00:00:35,,785.16
36.12,00:00:36,78,828.12
38.1,00:00:38,78,796.88
38.1,00:00:38,78,777.34
39.12,00:00:39,78,792.97
39.12,00:00:39,,776.37
40.06,00:00:40,77,769.53
41.1,00:00:41,77,750.00
43.06,00:00:43,77,753.91
43.06,00:00:43,78,757.81
43.06,00:00:43,,765.62
44.11,00:00:44,78,773.44
46.06,00:00:46,78,757.81
46.06,00:00:46,78,789.06
46.06,00:00:46,,777.34
46.99,00:00:46,78,746.09
50,00:00:50,79,726.56
50,00:00:50,,695.31
51.99,00:00:51,79,683.59
51.99,00:00:51,79,679.69
53.02,00:00:53,79,679.69
53.02,00:00:53,83,648.44
53.02,00:00:53,,648.44
53.02,00:00:53,,683.59
54.98,00:00:54,84,734.38
54.98,00:00:54,85,777.34
54.98,00:00:54,85,796.88
57.89,00:00:57,86,812.50
57.89,00:00:57,86,792.97
57.89,00:00:57,86,811.52
57.89,00:00:57,,789.06
61.92,00:01:01,83,773.44
63.88,00:01:03,77,792.97
63.88,00:01:03,,796.88
64.81,00:01:04,76,785.16
64.81,00:01:04,76,808.59
64.81,00:01:04,76,746.09
64.81,00:01:04,76,734.38
64.81,00:01:04,76,738.28
64.81,00:01:04,,726.56
66.87,00:01:06,77,757.81
66.87,00:01:06,78,785.16
66.87,00:01:06,,800.78
67.8,00:01:07,78,824.22
69.78,00:01:09,78,808.59
69.78,00:01:09,77,796.88
69.78,00:01:09,,785.16
70.81,00:01:10,77,773.44
71.75,00:01:11,76,800.78
72.81,00:01:12,76,773.44
73.74,00:01:13,76,792.97
73.74,00:01:13,,785.16
74.77,00:01:14,76,803.71
75.8,00:01:15,76,796.88
76.73,00:01:16,76,808.59
