Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
131.94,00:02:11,91,667.97
132.98,00:02:12,90,667.97
132.98,00:02:12,,652.34
133.91,00:02:13,90,625.00
134.95,00:02:14,91,617.19
134.95,00:02:14,,640.62
135.91,00:02:15,91,671.88
137.88,00:02:17,91,699.22
137.88,00:02:17,91,675.78
137.88,00:02:17,,652.34
138.91,00:02:18,91,656.25
138.91,00:02:18,,667.97
139.84,00:02:19,91,667.97
140.89,00:02:20,90,660.16
140.89,00:02:20,,632.81
141.89,00:02:21,91,617.19
141.89,00:02:21,,632.81
142.82,00:02:22,91,671.88
143.84,00:02:23,91,702.15
144.77,00:02:24,91,718.75
144.77,00:02:24,,703.12
145.8,00:02:25,91,730.47
146.83,00:02:26,90,757.81
146.83,00:02:26,,730.47
147.76,00:02:27,88,691.41
148.82,00:02:28,86,636.72
148.82,00:02:28,,636.72
149.74,00:02:29,86,652.34
150.78,00:02:30,86,671.88
150.78,00:02:30,,707.03
151.79,00:02:31,86,699.22
152.74,00:02:32,86,714.84
153.77,00:02:33,86,738.28
153.77,00:02:33,,738.28
154.7,00:02:34,85,707.03
155.74,00:02:35,85,679.69
155.74,00:02:35,,675.78
157.7,00:02:37,85,671.88
158.64,00:02:38,86,683.59
158.64,00:02:38,,699.22
159.67,00:02:39,86,695.31
160.6,00:02:40,87,714.84
161.78,00:02:41,87,750.00
161.78,00:02:41,,777.34
162.63,00:02:42,87,749.02
163.67,00:02:43,86,703.12
164.59,00:02:44,85,714.84
164.59,00:02:44,,703.12
165.56,00:02:45,85,691.41
166.6,00:02:46,85,679.69
166.6,00:02:46,,675.78
167.54,00:02:47,86,679.69
168.57,00:02:48,87,671.88
168.57,00:02:48,,691.41
169.59,00:02:49,87,687.50
170.52,00:02:50,88,679.69
170.52,00:02:50,,718.75
171.56,00:02:51,88,714.84
172.49,00:02:52,87,699.22
173.53,00:02:53,87,683.59
173.53,00:02:53,,683.59
174.54,00:02:54,87,679.69
175.47,00:02:55,87,703.12
175.47,00:02:55,,687.50
176.5,00:02:56,87,656.25
177.44,00:02:57,88,664.06
177.44,00:02:57,,675.78
178.47,00:02:58,88,687.50
179.51,00:02:59,88,671.88
179.51,00:02:59,,660.16
180.44,00:03:00,89,670.90
181.48,00:03:01,89,667.97
181.48,00:03:01,,691.41
182.41,00:03:02,89,691.41
183.45,00:03:03,89,675.78
183.45,00:03:03,,699.22
184.38,00:03:04,88,703.12
185.42,00:03:05,88,683.59
185.42,00:03:05,,660.16
186.45,00:03:06,88,675.78
187.38,00:03:07,88,683.59
188.33,00:03:08,88,691.41
188.33,00:03:08,,695.31
189.37,00:03:09,88,683.59
190.29,00:03:10,87,703.12
190.29,00:03:10,,710.94
191.33,00:03:11,87,718.75
192.37,00:03:12,87,687.50
192.37,00:03:12,,675.78
193.3,00:03:13,86,691.41
194.34,00:03:14,86,707.03
194.34,00:03:14,,699.22
195.28,00:03:15,86,691.41
196.31,00:03:16,86,718.75
197.24,00:03:17,86,746.09
197.24,00:03:17,,749.02
198.27,00:03:18,86,707.03
199.2,00:03:19,85,691.41
199.2,00:03:19,,707.03
200.25,00:03:20,85,699.22
201.29,00:03:21,85,687.50
202.22,00:03:22,86,664.06
202.22,00:03:22,,664.06
203.26,00:03:23,86,699.22
204.2,00:03:24,86,710.94
204.2,00:03:24,,722.66
205.24,00:03:25,86,703.12
206.17,00:03:26,86,687.50
206.17,00:03:26,,695.31
207.17,00:03:27,86,691.41
208.21,00:03:28,86,683.59
208.21,00:03:28,,671.88
209.14,00:03:29,86,675.78
210.18,00:03:30,87,695.31
211.13,00:03:31,87,691.41
211.13,00:03:31,,683.59
212.16,00:03:32,88,667.97
213.09,00:03:33,88,667.97
213.09,00:03:33,,675.78
215.15,00:03:35,88,671.88
215.15,00:03:35,89,664.06
215.15,00:03:35,,656.25
216.08,00:03:36,89,670.90
217.12,00:03:37,89,695.31
217.12,00:03:37,,699.22
218.07,00:03:38,89,683.59
219.09,00:03:39,89,667.97
219.09,00:03:39,,679.69
220.02,00:03:40,89,683.59
221.06,00:03:41,88,675.78
221.06,00:03:41,,671.88
222,00:03:42,88,683.59
223.04,00:03:43,88,695.31
223.04,00:03:43,,691.41
224.06,00:03:44,88,679.69
225,00:03:45,88,679.69
225,00:03:45,,683.59
225.93,00:03:45,88,671.88
226.97,00:03:46,88,664.06
226.97,00:03:46,,660.16
228.01,00:03:48,88,683.59
228.94,00:03:48,88,695.31
229.97,00:03:49,88,710.94
229.97,00:03:49,,691.41
230.9,00:03:50,88,671.88
231.91,00:03:51,88,675.78
231.91,00:03:51,,671.88
232.96,00:03:52,88,687.50
233.91,00:03:53,88,678.71
233.91,00:03:53,,675.78
234.95,00:03:54,88,691.41
235.88,00:03:55,88,703.12
235.88,00:03:55,,703.12
236.91,00:03:56,88,699.22
237.84,00:03:57,87,699.22
237.84,00:03:57,,699.22
238.87,00:03:58,87,687.50
239.93,00:03:59,86,675.78
240.86,00:04:00,87,660.16
240.86,00:04:00,,640.62
241.8,00:04:01,87,648.44
241.8,00:04:01,,664.06
242.83,00:04:02,88,675.78
243.78,00:04:03,89,679.69
244.81,00:04:04,89,683.59
244.81,00:04:04,,699.22
245.84,00:04:05,89,714.84
246.77,00:04:06,88,718.75
246.77,00:04:06,,710.94
247.8,00:04:07,87,710.94
248.72,00:04:08,86,695.31
248.72,00:04:08,,691.41
249.76,00:04:09,86,675.78
250.79,00:04:10,86,664.06
250.79,00:04:10,,655.27
251.73,00:04:11,86,667.97
252.76,00:04:12,88,671.88
252.76,00:04:12,,664.06
253.69,00:04:13,89,644.53
254.72,00:04:14,90,636.72
254.72,00:04:14,,628.91
256.69,00:04:16,91,644.53
257.72,00:04:17,91,660.16
257.72,00:04:17,,656.25
258.65,00:04:18,92,644.53
259.7,00:04:19,93,640.62
259.7,00:04:19,,656.25
260.63,00:04:20,93,671.88
261.6,00:04:21,92,671.88
261.6,00:04:21,,664.06
262.63,00:04:22,91,667.97
263.56,00:04:23,91,667.97
263.56,00:04:23,,675.78
264.61,00:04:24,90,687.50
265.54,00:04:25,89,691.41
265.54,00:04:25,,710.94
266.57,00:04:26,89,726.56
267.61,00:04:27,88,710.94
267.61,00:04:27,,679.69
268.54,00:04:28,88,671.88
269.57,00:04:29,87,671.88
270.51,00:04:30,88,670.90
270.51,00:04:30,,660.16
271.54,00:04:31,89,648.44
271.54,00:04:31,,640.62
272.58,00:04:32,89,625.00
273.5,00:04:33,91,617.19
273.5,00:04:33,,640.62
274.54,00:04:34,91,714.84
275.47,00:04:35,92,730.47
275.47,00:04:35,,675.78
276.5,00:04:36,92,671.88
277.49,00:04:37,92,695.31
278.42,00:04:38,91,714.84
278.42,00:04:38,,675.78
279.45,00:04:39,90,664.06
280.42,00:04:40,89,656.25
280.42,00:04:40,,675.78
282.38,00:04:42,89,679.69
282.38,00:04:42,89,660.16
282.38,00:04:42,,648.44
283.41,00:04:43,90,664.06
284.44,00:04:44,90,691.41
284.44,00:04:44,,726.56
285.37,00:04:45,90,746.09
286.4,00:04:46,89,687.50
286.4,00:04:46,,671.88
287.34,00:04:47,89,690.43
288.4,00:04:48,88,699.22
288.4,00:04:48,,710.94
289.33,00:04:49,87,667.97
290.36,00:04:50,88,648.44
290.36,00:04:50,,660.16
291.34,00:04:51,88,671.88
292.38,00:04:52,88,687.50
292.38,00:04:52,,675.78
293.31,00:04:53,89,675.78
294.34,00:04:54,89,675.78
295.27,00:04:55,89,683.59
295.27,00:04:55,,671.88
296.3,00:04:56,89,652.34
297.23,00:04:57,89,660.16
297.23,00:04:57,,664.06
298.26,00:04:58,89,675.78
299.22,00:04:59,90,671.88
299.22,00:04:59,,667.97
300.25,00:05:00,90,656.25
301.28,00:05:01,90,664.06
301.28,00:05:01,,664.06
302.21,00:05:02,90,656.25
302.21,00:05:02,,640.62
303.24,00:05:03,91,652.34
304.17,00:05:04,91,656.25
304.17,00:05:04,,660.16
305.2,00:05:05,91,666.99
306.14,00:05:06,91,667.97
306.14,00:05:06,,671.88
307.13,00:05:07,91,613.28
309.18,00:05:09,91,613.28
309.18,00:05:09,93,605.47
309.18,00:05:09,,585.94
309.18,00:05:09,,582.03
311.16,00:05:11,94,585.94
312.11,00:05:12,98,585.94
312.11,00:05:12,,593.75
313.14,00:05:13,100,593.75
313.14,00:05:13,,609.38
314.07,00:05:14,101,609.38
314.07,00:05:14,100,613.28
314.07,00:05:14,,625.00
315.11,00:05:15,99,625.00
315.11,00:05:15,,601.56
316.08,00:05:16,99,582.03
317.04,00:05:17,99,566.41
317.04,00:05:17,,566.41
318.08,00:05:18,99,570.31
318.08,00:05:18,,582.03
319,00:05:19,100,609.38
320.04,00:05:20,101,628.91
320.04,00:05:20,,648.44
321.07,00:05:21,101,670.90
322,00:05:22,101,667.97
322,00:05:22,,652.34
323.03,00:05:23,98,628.91
323.03,00:05:23,,617.19
323.97,00:05:23,97,636.72
325,00:05:25,95,636.72
325,00:05:25,,632.81
325.94,00:05:25,95,621.09
326.98,00:05:26,95,628.91
326.98,00:05:26,,648.44
327.9,00:05:27,95,683.59
328.94,00:05:28,94,675.78
328.94,00:05:28,,656.25
329.97,00:05:29,94,648.44
330.91,00:05:30,94,628.91
330.91,00:05:30,,605.47
331.95,00:05:31,93,605.47
331.95,00:05:31,,625.00
332.88,00:05:32,94,648.44
333.95,00:05:33,94,675.78
333.95,00:05:33,,640.62
334.88,00:05:34,95,597.66
334.88,00:05:34,,589.84
335.91,00:05:35,95,609.38
336.84,00:05:36,95,667.97
336.84,00:05:36,,710.94
337.88,00:05:37,94,671.88
338.81,00:05:38,93,651.37
338.81,00:05:38,,648.44
339.86,00:05:39,93,648.44
340.79,00:05:40,92,652.34
340.79,00:05:40,,640.62
341.83,00:05:41,92,636.72
342.77,00:05:42,93,625.00
342.77,00:05:42,,636.72
343.81,00:05:43,93,632.81
344.74,00:05:44,94,613.28
344.74,00:05:44,,605.47
345.78,00:05:45,95,597.66
