Time[s],Time[hh:mm:ss],VO2[mL/kg/min],VO2[mL/min],HR[bpm],Rf[bpm],Tv[L],Ve[L/min],Ve/VO2,FeO2[%],Pressure[hPa],Temp[C],HUM[%RH],RR[ms],Time
1,00:00:01,0.0,0.0,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.66,2021-12-03 10:56:45
2,00:00:02,2.04,128.33,57,14.48,0.77,11.28,87.9,19.33,1002.2,24.23,32.22,886.72,2021-12-03 10:56:46
3,00:00:03,2.04,128.33,57,14.48,0.77,11.28,87.9,19.33,1002.2,24.23,32.22,367.19,2021-12-03 10:56:47
4,00:00:04,2.04,128.33,57,14.48,0.77,11.28,87.9,19.33,1002.2,24.23,32.22,1574.22,2021-12-03 10:56:48
5,00:00:05,2.04,128.33,57,14.48,0.77,11.28,87.9,19.33,1002.2,24.23,32.22,964.84,2021-12-03 10:56:49
6,00:00:06,2.04,128.33,57,14.48,0.77,11.28,87.9,19.33,1002.2,24.23,32.22,1023.44,2021-12-03 10:56:50
7,00:00:07,2.04,128.33,58,14.48,0.77,11.28,87.9,19.33,1002.2,24.23,32.22,1046.88,2021-12-03 10:56:51
8,00:00:08,2.04,128.33,58,14.48,0.77,11.28,87.9,19.33,1002.2,24.23,32.22,1046.88,2021-12-03 10:56:52
9,00:00:09,2.01,126.5,58,8.46,0.79,6.72,53.12,18.28,1002.2,24.23,32.28,1054.69,2021-12-03 10:56:53
10,00:00:10,2.01,126.5,58,8.46,0.79,6.72,53.12,18.28,1002.2,24.23,32.28,1050.78,2021-12-03 10:56:54
11,00:00:11,2.01,126.5,58,8.46,0.79,6.72,53.12,18.28,1002.2,24.23,32.28,1050.78,2021-12-03 10:56:55
12,00:00:12,2.01,126.5,58,8.46,0.79,6.72,53.12,18.28,1002.2,24.23,32.28,1046.88,2021-12-03 10:56:56
13,00:00:13,2.01,126.5,58,8.46,0.79,6.72,53.12,18.28,1002.2,24.23,32.28,998.05,2021-12-03 10:56:57
14,00:00:14,2.01,126.5,58,8.46,0.79,6.72,53.12,18.28,1002.2,24.23,32.28,1062.5,2021-12-03 10:56:58
15,00:00:15,2.47,155.5,58,10.65,0.75,8.05,51.77,18.19,1002.1,24.23,32.31,1082.03,2021-12-03 10:56:59
16,00:00:16,2.47,155.5,58,10.65,0.75,8.05,51.77,18.19,1002.1,24.23,32.31,1109.38,2021-12-03 10:57:00
17,00:00:17,2.47,155.5,58,10.65,0.75,8.05,51.77,18.19,1002.1,24.23,32.31,1109.38,2021-12-03 10:57:01
18,00:00:18,2.47,155.5,57,10.65,0.75,8.05,51.77,18.19,1002.1,24.23,32.31,1062.01,2021-12-03 10:57:02
19,00:00:19,2.47,155.5,57,10.65,0.75,8.05,51.77,18.19,1002.1,24.23,32.31,1109.38,2021-12-03 10:57:03
20,00:00:20,2.47,155.5,57,10.65,0.75,8.05,51.77,18.19,1002.1,24.23,32.31,1191.41,2021-12-03 10:57:04
21,00:00:21,2.47,155.5,56,10.65,0.75,8.05,51.77,18.19,1002.1,24.23,32.31,1250.0,2021-12-03 10:57:05
22,00:00:22,3.13,197.5,56,8.79,0.98,8.66,43.85,17.81,1002.1,24.23,32.37,1250.0,2021-12-03 10:57:06
23,00:00:23,3.13,197.5,56,8.79,0.98,8.66,43.85,17.81,1002.1,24.23,32.37,1203.12,2021-12-03 10:57:07
24,00:00:24,3.13,197.5,56,8.79,0.98,8.66,43.85,17.81,1002.1,24.23,32.37,1203.12,2021-12-03 10:57:08
25,00:00:25,3.13,197.5,55,8.79,0.98,8.66,43.85,17.81,1002.1,24.23,32.37,1167.97,2021-12-03 10:57:09
26,00:00:26,3.13,197.5,54,8.79,0.98,8.66,43.85,17.81,1002.1,24.23,32.37,1095.7,2021-12-03 10:57:10
